iso3_country_code,Date,"Australia (Eastern States), Wheat (ASW), USD/Kg","Australia (Eastern States), Barley (feed), USD/Kg","Argentina, Maize (Up River), USD/Kg","Canada (St Lawrence), Wheat (CWRS, 13.5%), USD/Kg","European Union, Bananas, USD/Kg","India, Rice (25% broken), USD/Kg","Philippines, Coconut oil, USD/Kg","United States of America, Soybean , USD/Kg","United States of America (Gulf), Sorghum, USD/Kg","EU, Amsterdam, Sunflowerseed, USD/Kg"
,11/01/2025,0.24055,0.2265,0.2078,0.27065,1.10848,0.33035,,,0.2054,
,10/01/2025,0.24065,0.22896,0.20195,0.25761,1.1303,0.34641,,,0.19691,
,09/01/2025,0.24214,0.233,0.20004,0.25968,1.14542,0.3581,,,0.19773,
,08/01/2025,0.24662,0.2371,0.20085,0.2601,1.12155,0.36116,2.736,0.437,0.18443,0.585
,07/01/2025,0.253,0.24391,0.19664,0.2733,1.1489,0.35693,2.858,0.434,0.18852,0.553
,06/01/2025,0.24862,0.24129,0.19255,0.29133,1.16229,0.3651,2.631,0.444,0.1901,0.565
,05/01/2025,0.25327,0.24191,0.2066,0.27382,1.13618,0.3668,2.709,0.449,0.20645,0.583
,04/01/2025,0.24745,0.23414,0.2216,0.26755,1.12487,0.36125,2.544,0.441,0.21836,0.623
,03/01/2025,0.24367,0.2289,0.2164,0.26229,1.08306,0.35925,2.321,0.437,0.21605,0.648
,02/01/2025,0.251,0.23275,0.2296,0.27125,1.02949,0.37375,2.103,0.446,0.2427,0.645
,01/01/2025,0.24539,0.22909,0.22495,0.26922,1.01547,0.411,1.994,0.441,0.23878,0.655
,12/01/2024,0.24891,0.23173,0.20984,0.2705,1.03719,0.42725,1.968,0.432,0.22714,0.661
,11/01/2024,0.25571,0.23086,0.20945,0.2629,1.03997,0.4362,1.874,0.438,0.23295,0.68
,10/01/2024,0.2543,0.23522,0.20792,0.27452,1.04983,0.47725,1.725,0.439,0.23548,0.616
,09/01/2024,0.25838,0.2349,0.19325,0.27167,1.06593,,1.733,0.441,0.23852,0.538
,08/01/2024,0.27041,0.23941,0.1851,0.25995,1.06987,,1.616,0.424,0.243,0.518
,07/01/2024,0.27691,0.24443,0.18344,0.26687,1.07939,,1.476,0.455,0.23583,0.52
,06/01/2024,0.28615,0.2517,0.1924,0.2787,1.06454,,1.398,0.472,0.247,0.523
,05/01/2024,0.26743,0.24891,0.19805,0.31274,1.07826,,1.397,0.496,0.25313,0.493
,04/01/2024,0.24341,0.23626,0.19452,0.28595,1.07429,,1.417,0.485,0.25064,0.476
,03/01/2024,0.25043,0.22865,0.1896,0.28748,1.08355,,1.289,0.487,0.25224,0.48
,02/01/2024,0.269,0.236,0.19035,0.29976,1.068,,1.167,0.507,0.23857,0.476
,01/01/2024,0.28122,0.249,0.20844,0.31339,1.08632,,1.125,0.53,0.25465,0.485
,12/01/2023,0.296,0.25462,0.21705,0.31657,1.08346,,1.104,0.548,0.26876,0.481
,11/01/2023,0.27623,0.25191,0.2132,0.31455,1.07669,,1.116,0.556,0.2705,0.469
,10/01/2023,0.29632,0.258,0.24344,0.31245,1.0531,,1.055,0.532,0.26814,0.436
,09/01/2023,0.29829,0.25667,0.2367,0.31948,1.04312,,1.066,0.561,0.24657,0.442
,08/01/2023,0.29365,0.24278,0.22084,0.3327,1.07425,,1.097,0.558,0.24343,0.498
,07/01/2023,0.2909,0.23433,0.2274,0.3521,1.11816,0.467,1.066,0.565,0.27662,0.481
,06/01/2023,0.27441,0.23232,0.23755,0.32955,1.10084,0.4366,1.007,0.525,0.29214,0.445
,05/01/2023,0.27391,0.25474,0.25312,0.32787,1.11148,0.41575,1.036,0.518,0.30652,0.508
,04/01/2023,0.2943,0.27545,0.28485,0.33695,1.14272,0.413,1.068,0.558,0.34225,0.504
,03/01/2023,0.303,0.27257,0.29875,0.34291,1.10595,0.4032,1.105,0.575,0.34339,0.522
,02/01/2023,0.3226,0.28565,0.3108,0.37135,1.0981,0.413,1.119,0.651,0.3627,0.601
,01/01/2023,0.32518,0.29236,0.3114,0.37114,1.07211,0.40625,1.08,0.648,0.36491,0.606
,12/01/2022,0.33518,0.28915,0.3121,0.37923,1.01414,0.3754,1.16,0.646,0.36127,0.591
,11/01/2022,0.35186,0.30123,0.30132,0.38691,0.96973,0.36825,1.179,0.646,0.36673,0.626
,10/01/2022,0.35129,0.29829,0.3081,0.38943,0.95008,0.366,1.105,0.623,0.37138,0.619
,09/01/2022,0.3385,0.30795,0.29445,0.38232,0.90106,0.3638,1.228,0.643,0.36014,0.616
,08/01/2022,0.35674,0.33039,0.28068,0.37613,0.8767,0.33225,1.361,0.633,0.31757,0.686
,07/01/2022,0.38343,0.34838,0.27035,0.3791,0.89148,0.3368,1.497,0.618,0.32495,0.654
,06/01/2022,0.41314,0.38668,0.29895,0.4585,0.95186,0.3353,1.686,0.675,0.37277,0.769
,05/01/2022,0.40177,0.37441,0.31416,0.5065,0.96247,0.32925,1.752,0.72,0.38891,0.878
,04/01/2022,0.3929,0.34457,0.31525,0.46752,0.96241,0.326,2.054,0.723,0.40229,0.895
,03/01/2022,0.3933,0.32609,0.33276,0.4503,0.97017,0.34,2.271,0.72,0.40391,0.97
,02/01/2022,0.32225,0.2797,0.2861,0.4088,0.96251,0.33475,2.146,0.669,0.34425,0.757
,01/01/2022,0.31076,0.26924,0.2716,0.38995,0.91153,0.33075,2.016,0.608,0.324,0.721
,12/01/2021,0.30825,0.26975,0.2605,0.41675,0.8851,0.3252,1.795,0.565,0.31743,0.716
,11/01/2021,0.3272,0.2812,0.252,0.4174,0.90365,0.334,1.905,0.553,0.306,0.741
,10/01/2021,0.32075,0.2675,0.2465,0.39675,0.92558,0.351,1.884,0.549,0.29752,0.748
,09/01/2021,0.30375,0.254,0.2405,0.3675,0.9141,0.3575,1.505,0.556,0.2955,0.654
,08/01/2021,0.2938,0.2448,0.2368,0.3718,0.89174,0.361,1.476,0.563,0.32714,0.609
,07/01/2021,0.2815,0.23725,0.235,0.3455,0.84794,0.363,1.567,0.573,0.35495,
,06/01/2021,0.2848,0.2484,0.2506,0.3242,0.95067,0.37,1.6,0.615,0.38941,0.743
,05/01/2021,0.2885,0.238,0.27175,0.3185,0.96929,0.37,1.662,0.646,0.39848,0.775
,04/01/2021,0.272,0.22725,0.2535,0.3025,0.96139,0.369,1.598,0.6,0.36668,0.759
,03/01/2021,0.273,0.2328,0.236,0.29,0.95066,0.37875,1.54,0.582,0.34287,0.787
,02/01/2021,0.27425,0.23675,0.24825,0.29375,0.94597,0.37875,1.429,0.581,0.34115,0.734
,01/01/2021,0.26925,0.22525,0.257,0.29575,0.93905,0.372,1.449,0.574,0.32419,0.71
,12/01/2020,0.2462,0.2048,0.2318,0.273,0.92024,0.3575,1.48,0.513,0.29174,0.654
,11/01/2020,0.24175,0.21325,0.2265,0.2725,0.88583,0.34275,1.383,0.502,0.2841,0.605
,10/01/2020,0.24825,0.2095,0.2175,0.26325,0.90325,0.355,1.108,0.454,0.27486,0.53
,09/01/2020,0.2316,0.1976,0.1848,0.2454,0.91014,0.3625,1.034,0.419,0.24391,0.476
,08/01/2020,0.21825,0.19175,0.163,0.23475,0.89532,0.3675,0.983,0.387,0.21838,0.39
,07/01/2020,0.2175,0.19125,0.153,0.2335,0.86138,0.364,0.897,0.383,0.2153,0.435
,06/01/2020,0.2296,0.1926,0.1494,0.238,0.90074,0.38,0.915,0.369,0.22582,0.434
,05/01/2020,0.268,0.193,0.14625,0.23825,0.90864,0.3846,0.832,0.36,0.22424,0.433
,04/01/2020,0.27675,0.2185,0.1555,0.23675,0.90265,0.37125,0.84,0.362,0.19695,0.424
,03/01/2020,0.2426,0.204,0.1696,0.242,0.90769,0.355,0.839,0.369,0.191,0.406
,02/01/2020,0.2475,0.21675,0.1795,0.249,0.89921,0.359,0.85,0.376,0.1805,0.426
,01/01/2020,0.25675,0.22575,0.1855,0.25975,0.87031,0.357,1.011,0.39,0.18422,0.443
,12/01/2019,0.2472,0.218,0.173,0.2514,0.85824,0.355,1.032,0.381,0.18027,0.418
,11/01/2019,0.235,0.20925,0.16675,0.24275,0.85367,0.3574,0.833,0.377,0.1789,0.389
,10/01/2019,0.2356,0.22,0.1566,0.25,0.85603,0.363,0.718,0.385,0.18426,0.366
,09/01/2019,0.239,0.2245,0.1455,0.228,0.84632,0.363,0.724,0.365,0.17195,0.355
,08/01/2019,0.22925,0.21975,0.15075,0.21525,0.83382,0.365,0.718,0.382,0.17832,0.362
,07/01/2019,0.2464,0.2428,0.1768,0.2264,0.86361,0.3625,0.665,0.374,0.18513,0.37
,06/01/2019,0.25175,0.248,0.18325,0.23925,0.88605,0.36125,0.643,0.371,0.20255,0.38
,05/01/2019,0.227,0.23675,0.166,0.238,0.91855,0.36,0.669,0.345,0.18843,0.405
,04/01/2019,0.2486,0.2496,0.155,0.2334,0.93418,0.35875,0.675,0.364,0.1765,0.393
,03/01/2019,0.2565,0.245,0.163,0.25025,0.93803,0.366,0.681,0.373,0.18233,0.397
,02/01/2019,0.27925,0.25075,0.17,0.25725,0.87171,0.35625,0.713,0.38,0.18315,0.396
,01/01/2019,0.2994,0.265,0.1726,0.2592,0.84844,0.36,0.782,0.382,0.18557,0.381
,12/01/2018,0.3105,0.271,0.1715,0.2645,0.83953,0.3575,0.806,0.382,0.1789,0.37
,11/01/2018,0.30075,0.26475,0.161,0.2665,0.86012,0.354,0.767,0.373,0.16832,0.377
,10/01/2018,0.315,0.3036,0.1624,0.271,0.90742,0.35025,0.841,0.368,0.17496,0.375
,09/01/2018,0.29275,0.29575,0.16,0.26425,0.88528,0.362,0.903,0.358,0.17785,0.378
,08/01/2018,0.305,0.289,0.168,0.264,0.84337,0.373,0.917,0.38,0.18835,0.389
,07/01/2018,0.2588,0.261,0.165,0.2358,0.87658,0.3875,0.917,0.378,0.18982,0.401
,06/01/2018,0.251,0.25525,0.17025,0.2325,0.91772,0.3796,0.938,0.398,0.1911,0.42
,05/01/2018,0.2476,0.2426,0.1916,0.256,0.96277,0.38075,1.029,0.431,0.19074,0.422
,04/01/2018,0.23125,0.2375,0.18925,0.24675,1.11319,0.38375,1.135,0.442,0.19252,0.423
,03/01/2018,0.22275,0.2345,0.1875,0.24725,1.11227,0.385,1.124,0.432,0.19636,0.416
,02/01/2018,0.22325,0.23725,0.17725,0.24925,1.07421,0.39,1.252,0.418,0.2057,0.408
,01/01/2018,0.2168,0.2226,0.1636,0.2582,0.97835,0.38375,1.399,0.405,0.20022,0.398
,12/01/2017,0.21325,0.211,0.158,0.2525,0.91248,0.371,1.456,0.399,0.1899,0.395
,11/01/2017,0.21375,0.2095,0.15,0.259,0.92528,0.36575,1.549,0.401,0.18441,0.393
,10/01/2017,0.2114,0.2044,0.149,0.2574,0.92184,0.3625,1.485,0.399,0.18805,0.39
,09/01/2017,0.216,0.208,0.14925,0.266,0.92602,0.373,1.525,0.397,0.18667,0.399
,08/01/2017,0.2124,0.1982,0.1488,0.278,0.93544,0.37375,1.604,0.39,0.18613,0.397
,07/01/2017,0.2405,0.21275,0.15025,0.3105,0.93605,0.37875,1.591,0.408,0.19186,0.399
,06/01/2017,0.212,0.19525,0.15525,0.25875,0.93177,0.375,1.697,0.38,0.18482,0.396
,05/01/2017,0.1842,0.1728,0.1614,0.2238,0.91498,0.36,1.687,0.388,0.1767,0.403
,04/01/2017,0.175,0.174,0.1645,0.21675,0.86943,0.35,1.58,0.389,0.173,0.4
,03/01/2017,0.1795,0.1745,0.1635,0.21575,0.84994,0.344,1.549,0.404,0.16478,0.41
,02/01/2017,0.17725,0.16975,0.17925,0.22375,0.83209,0.345,1.703,0.427,0.16605,0.415
